Verjetnost,Radij,Okuženi,Preboleli,Koraki
0.1,0.06,0,2000,59
0.1,0.06,0,2000,50
0.1,0.06,0,2000,52
0.1,0.06,0,2000,52
0.1,0.06,0,2000,57
0.1,0.06,0,2000,61
0.1,0.06,0,2000,50
0.1,0.06,0,2000,54
0.1,0.06,0,2000,52
0.1,0.06,0,2000,60
0.1,0.06,0,2000,63
0.1,0.06,0,2000,51
0.1,0.06,0,2000,53
0.1,0.06,0,2000,52
0.1,0.06,0,2000,52
0.1,0.06,0,2000,53
0.1,0.06,0,2000,54
0.1,0.06,0,2000,55
0.1,0.06,0,2000,58
0.1,0.06,0,2000,61
0.1,0.06,0,2000,56
0.1,0.06,0,2000,58
0.1,0.06,0,2000,58
0.1,0.06,0,2000,54
0.1,0.06,0,2000,59
0.1,0.06,0,2000,55
0.1,0.06,0,2000,53
0.1,0.06,0,2000,55
0.1,0.06,0,2000,57
0.1,0.06,0,2000,52
0.1,0.06,0,2000,49
0.1,0.06,0,2000,52
0.1,0.06,0,2000,53
0.1,0.06,0,2000,59
0.1,0.06,0,2000,51
0.1,0.06,0,2000,56
0.1,0.06,0,2000,67
0.1,0.06,0,2000,46
0.1,0.06,0,2000,53
0.1,0.06,0,2000,55
0.1,0.06,0,2000,54
0.1,0.06,0,2000,54
0.1,0.06,0,2000,46
0.1,0.06,0,2000,53
0.1,0.06,0,2000,46
0.1,0.06,0,2000,59
0.1,0.06,0,2000,49
0.1,0.06,0,2000,57
